member_id,tier,is_tier_ambiguous,join_date_missing,days_since_last_txn,txn_count_lifetime,txn_count_last_90d,avg_days_between_txns,total_spend,avg_order_value,refund_count,refund_rate,spend_trend_90d,points_earned_gross,points_earned_adj,points_redeemed,points_balance,redemption_rate,days_since_last_redemption
M00001,Bronze,0,0,248.0,8,0,207.42857142857142,625.7,78.2125,0,0.0,,1159.0,1159.0,285,874.0,0.2459,1404.0
M00002,Bronze,0,0,71.0,5,1,230.0,339.01,67.80199999999999,0,0.0,,593.0,593.0,159,434.0,0.2681,929.0
M00003,Silver,0,0,26.0,5,2,98.25,298.66,59.732000000000006,0,0.0,,523.0,523.0,0,523.0,0.0,
M00004,Gold,0,0,229.0,5,0,293.25,407.94,81.588,0,0.0,,714.0,714.0,48,666.0,0.0672,229.0
M00005,Gold,0,0,201.0,4,0,349.3333333333333,305.31,76.3275,0,0.0,,703.0,703.0,150,553.0,0.2134,201.0
M00006,Gold,0,1,123.0,2,0,,57.83,28.915,0,0.0,0.0,101.0,101.0,0,101.0,0.0,
M00007,Platinum,0,1,80.0,6,1,84.8,376.42,62.73666666666667,0,0.0,5.332,752.0,752.0,72,680.0,0.0957,165.0
M00008,Bronze,0,0,230.0,3,0,204.0,250.55,83.51666666666667,0,0.0,,479.0,479.0,100,379.0,0.2088,230.0
M00009,Gold,0,0,34.0,5,1,292.75,446.71,89.342,0,0.0,,1027.0,1027.0,0,1027.0,0.0,
M00010,Bronze,0,0,120.0,7,0,62.666666666666664,320.42,45.77428571428572,0,0.0,0.0,641.0,641.0,0,641.0,0.0,
M00011,Gold,0,0,564.0,3,0,251.5,81.42,27.14,0,0.0,,188.0,188.0,0,188.0,0.0,
M00012,Silver,0,0,47.0,7,1,75.5,405.93,67.655,1,0.1429,,987.0,934.0,153,781.0,0.1638,47.0
M00013,Bronze,0,0,47.0,4,1,463.3333333333333,227.36,56.84,0,0.0,,523.0,523.0,0,523.0,0.0,
M00014,Bronze,0,0,284.0,6,0,213.0,270.02,45.00333333333333,0,0.0,,549.0,549.0,50,499.0,0.0911,284.0
M00015,Silver,0,0,62.0,8,1,12.571428571428571,696.38,87.0475,0,0.0,0.1339,1601.0,1601.0,50,1551.0,0.0312,109.0
M00016,Bronze,0,0,2.0,8,5,34.142857142857146,560.37,70.04625,0,0.0,,1103.0,1103.0,76,1027.0,0.0689,19.0
M00017,Silver,0,0,400.0,5,0,188.0,277.74,55.548,0,0.0,,574.0,574.0,0,574.0,0.0,
M00018,Bronze,0,0,182.0,7,0,224.16666666666666,594.84,99.14,1,0.1429,,1263.0,1189.0,0,1189.0,0.0,
M00019,Bronze,0,0,26.0,3,1,307.0,146.72,48.906666666666666,0,0.0,,257.0,257.0,70,187.0,0.2724,640.0
M00020,Gold,0,0,5.0,6,5,28.6,715.36,119.22666666666667,0,0.0,1.4185,1253.0,1253.0,306,947.0,0.2442,5.0
M00021,Gold,0,0,45.0,3,1,184.0,137.5,68.75,1,0.3333,,354.0,275.0,0,275.0,0.0,
M00022,Silver,0,0,75.0,4,1,284.3333333333333,151.64,37.91,0,0.0,,272.0,272.0,50,222.0,0.1838,189.0
M00023,Bronze,0,0,892.0,3,0,397.0,132.27,66.135,1,0.3333,,484.0,304.0,100,204.0,0.3289,1686.0
M00024,Silver,0,0,306.0,1,0,,20.34,20.34,0,0.0,,36.0,36.0,0,36.0,0.0,
M00025,Bronze,0,0,59.0,6,1,128.0,414.9,69.14999999999999,0,0.0,0.7872,830.0,830.0,100,730.0,0.1205,159.0
M00026,Bronze,0,0,430.0,7,0,235.83333333333334,336.79,48.112857142857145,0,0.0,,645.0,645.0,0,645.0,0.0,
M00027,Silver,0,0,110.0,8,0,60.0,477.52,59.69,0,0.0,0.0,954.0,954.0,78,876.0,0.0818,290.0
M00028,Silver,0,0,652.0,3,0,439.0,175.16,58.38666666666666,0,0.0,,212.0,212.0,0,212.0,0.0,
M00029,Gold,0,0,24.0,2,1,,141.45,70.725,0,0.0,0.5302,299.0,299.0,0,299.0,0.0,
M00030,Platinum,0,0,32.0,7,1,80.0,746.77,106.68142857142857,0,0.0,11.095,1355.0,1355.0,100,1255.0,0.0738,32.0
M00031,Bronze,0,0,1043.0,4,0,212.0,142.9,35.725,0,0.0,,291.0,291.0,0,291.0,0.0,
M00032,Gold,0,0,214.0,6,0,135.8,336.6,67.32000000000001,1,0.1667,,777.0,704.0,342,362.0,0.4858,275.0
M00033,Gold,0,0,51.0,4,1,80.33333333333333,178.78,44.695,0,0.0,0.3142,358.0,358.0,0,358.0,0.0,
M00034,Bronze,0,0,19.0,6,4,26.4,240.32999999999998,48.065999999999995,1,0.1667,4.6923,688.0,494.0,97,397.0,0.1964,96.0
M00035,Bronze,0,0,1186.0,3,0,131.5,283.11,94.37,0,0.0,,652.0,652.0,0,652.0,0.0,
M00036,Silver,0,0,126.0,6,0,94.0,369.72,61.620000000000005,0,0.0,0.0,729.0,729.0,248,481.0,0.3402,126.0
M00037,Bronze,0,0,0.0,6,5,19.0,361.52,60.25333333333333,0,0.0,2.6378,767.0,767.0,200,567.0,0.2608,68.0
M00038,Gold,0,0,88.0,4,1,7.0,215.91,53.9775,0,0.0,0.4306,495.0,495.0,0,495.0,0.0,
M00039,Platinum,0,0,105.0,3,0,309.5,168.04,56.01333333333333,0,0.0,0.0,294.0,294.0,102,192.0,0.3469,724.0
M00040,Platinum,0,0,85.0,3,1,244.0,117.38,39.126666666666665,0,0.0,7.1871,206.0,206.0,0,206.0,0.0,
M00041,Bronze,0,0,462.0,5,0,266.25,484.63,96.926,0,0.0,,858.0,858.0,0,858.0,0.0,
M00042,Bronze,0,0,39.0,5,1,82.0,279.29,55.858000000000004,0,0.0,1.2514,488.0,488.0,0,488.0,0.0,
M00043,Silver,0,0,131.0,5,0,101.0,322.7,64.53999999999999,0,0.0,0.0,680.0,680.0,150,530.0,0.2206,145.0
M00044,Silver,0,0,9.0,6,1,244.4,355.94,59.32333333333333,0,0.0,0.5173,676.0,676.0,77,599.0,0.1139,171.0
M00045,Silver,0,0,4.0,6,1,130.6,354.68,59.11333333333334,0,0.0,0.1763,774.0,774.0,191,583.0,0.2468,97.0
M00046,Silver,0,0,80.0,6,1,54.0,751.47,125.245,0,0.0,0.117,1728.0,1728.0,137,1591.0,0.0793,80.0
M00047,Bronze,0,1,34.0,6,1,278.2,527.05,87.84166666666665,0,0.0,,1044.0,1044.0,0,1044.0,0.0,
M00048,Gold,0,0,318.0,6,0,177.8,432.27,72.045,0,0.0,,994.0,994.0,200,794.0,0.2012,769.0
M00049,Silver,0,1,42.0,5,2,28.5,519.04,103.80799999999999,0,0.0,1.9971,1195.0,1195.0,82,1113.0,0.0686,82.0
M00050,Silver,0,0,157.0,3,0,73.5,302.37,100.79,0,0.0,0.0,529.0,529.0,0,529.0,0.0,
M00051,Bronze,0,0,21.0,4,2,48.666666666666664,310.32,77.58,0,0.0,3.039,621.0,621.0,0,621.0,0.0,
M00052,Silver,0,0,989.0,2,0,,43.38,43.38,1,0.5,,189.0,76.0,0,76.0,0.0,
M00053,Bronze,0,1,77.0,6,2,141.2,424.8,70.8,0,0.0,0.6281,713.0,713.0,0,713.0,0.0,
M00054,Platinum,0,0,415.0,3,0,232.5,196.25,65.41666666666667,0,0.0,,451.0,451.0,0,451.0,0.0,
M00055,Silver,0,0,908.0,3,0,211.5,198.23,66.07666666666667,0,0.0,,396.0,396.0,0,396.0,0.0,
M00056,Gold,0,0,51.0,5,2,113.25,396.96,79.392,0,0.0,,812.0,812.0,0,812.0,0.0,
M00057,Bronze,0,0,202.0,6,0,81.6,413.02,68.83666666666666,0,0.0,,908.0,908.0,0,908.0,0.0,
M00058,Bronze,0,0,381.0,6,0,214.2,482.54,80.42333333333333,0,0.0,,966.0,966.0,0,966.0,0.0,
M00059,Bronze,0,0,97.0,7,0,39.0,420.64,60.09142857142857,0,0.0,0.0,757.0,757.0,0,757.0,0.0,
M00060,Gold,0,0,1428.0,4,0,148.0,406.74,101.685,0,0.0,,812.0,812.0,0,812.0,0.0,
M00061,Silver,0,0,64.0,6,1,108.0,333.67,55.61166666666667,0,0.0,0.3483,768.0,768.0,50,718.0,0.0651,367.0
M00062,Silver,0,0,433.0,2,0,,65.94999999999999,32.974999999999994,0,0.0,,152.0,152.0,0,152.0,0.0,
M00063,Silver,0,0,120.0,2,0,,66.2,33.1,0,0.0,0.0,119.0,119.0,0,119.0,0.0,
